code,name,strength,event_title,event_id,return_20d,bias_20d,avg_turnover
603650,彤程新材,4.05,原材料价格波动,279,4.165863066538084,6.649553240855013,1.297545
002455,百川股份,4.05,供应链变化,2111,-13.82175226586103,-11.244214538524348,16.156135
300042,朗科科技,4.05,原材料价格波动,416,-12.706593211302659,5.530013320156416,15.151835
300540,蜀道装备,4.0,原材料价格波动,3505,12.291350531107739,11.264252599924834,2.90451
600396,华电辽能,3.94,行业新规,2807,25.48330404217925,-6.120570639668656,18.327735
601678,滨化股份,3.9,重大资产重组,1202,1.405622489959827,1.1922653040777635,3.097955
688106,金宏气体,3.87,产品发布/召回,2593,-1.6552716804606005,-1.8213169522577917,8.730890000000002
600770,综艺股份,3.87,行业龙头动作,1459,-1.7006802721088374,3.677130044843034,1.6942999999999997
000919,金陵药业,3.84,国家发展规划,3509,10.249307479224381,5.353715836145849,8.538835
002045,国光电器,3.8,负面舆情,379,-4.354838709677427,1.3112373467731542,1.35568
000878,云南铜业,3.7,原材料价格波动,2300,4.151339989490274,6.656621643437541,2.419615
001872,招商港口,3.68,贸易协定签署,1443,-6.008771929824565,-2.877860865624283,0.14613
600127,金健米业,3.68,原材料价格波动,1605,-3.32409972299168,-2.8261172212167534,8.29135
603103,横店影视,3.61,产品发布/召回,1968,1.817413355874893,5.829635812502754,1.0806
300558,贝达药业,3.61,行业龙头动作,2098,1.6843562528841645,0.6520572348662012,1.8029499999999998
301297,富乐德,3.61,重大合同签署,1486,6.563926940639282,9.620409241699184,1.18107
601016,节能风电,3.61,国家发展规划,2106,-11.159737417943122,-6.483934124150665,9.493325
300189,神农种业,3.61,国家发展规划,1504,-12.45136186770428,-2.322552637291089,10.29344
920021,流金科技,3.61,国家发展规划,2518,15.106382978723405,9.608468824393466,9.457560000000003
605319,无锡振华,3.61,国家发展规划,2521,20.25862068965517,6.464168511028006,2.6235100000000005
300065,海兰信,3.61,国家发展规划,2556,11.490052781161193,14.748960531539243,9.38679
603960,克来机电,3.61,重大资产重组,3090,17.269657501205973,12.88599953563963,4.32907
600644,乐山电力,3.61,行业标准制定,3478,-8.719999999999999,-4.266476486134984,9.16759
688005,容百科技,3.61,行业龙头动作,1530,11.167341430499333,10.931555735110956,3.103725
301556,托普云农,3.61,国家发展规划,1503,-5.113572787288807,2.3672424824056284,4.90095
300773,拉卡拉,3.61,国际贸易政策,2608,2.9759633727584798,11.579643639670918,6.45546
300137,先河环保,3.61,国家发展规划,381,17.824074074074066,13.00229408717531,7.284235000000001
002009,天奇股份,3.61,行业新规,20,-1.24497991967871,1.2955448909394347,6.17304
002385,大北农,3.61,国家发展规划,2053,-3.3898305084745686,0.47846889952153426,2.74771
000999,华润三九,3.61,国家发展规划,47,-5.664263645726051,-2.3280611338190904,0.8947200000000001
300884,狄耐克,3.52,国际贸易政策,3336,-7.660738714090283,0.8365700627427555,2.3643750000000003
688319,欧林生物,3.52,产品发布/召回,2810,-4.555883316945265,0.010303259264347678,2.14783
603619,中曼石油,3.52,国际贸易政策,1490,-7.575757575757576,-4.46358653093186,7.047059999999999
688425,铁建重工,3.5,重大合同签署,3326,-5.825242718446615,-2.247304242668538,0.68011
600970,中材国际,3.43,行业新规,1877,3.5294117647058942,1.2124406958355476,1.07484
002589,瑞康医药,3.43,国家发展规划,3265,11.726384364820857,5.069689079491491,8.211195
000876,新 希 望,3.43,领导人重要讲话,2084,1.8518518518518534,4.544104544104547,0.712725
301005,超捷股份,3.43,在手订单类,96,12.903225806451605,9.861724632895106,7.803280000000001
601717,中创智领,3.43,行业新规,2870,-9.19854280510018,-3.7366032634932935,1.18376
000930,中粮科技,3.43,产品发布/召回,1089,-9.93006993006993,-4.670268669972616,2.3785049999999996
600685,中船防务,3.41,战争/冲突,2719,-4.879614767255216,2.3488773747841094,1.8284099999999999
002407,多氟多,3.3,财报发布,1636,16.952455183164464,6.957017606386777,6.991619999999999
300661,圣邦股份,3.3,财报发布,568,9.335777746439156,6.416855397707792,4.226215
002458,益生股份,3.3,供应链变化,2672,7.628004179728322,8.35261939827478,2.18325
600284,浦东建设,3.3,经济数据,2573,2.455661664392902,6.759542256023885,1.458405
002155,湖南黄金,3.3,原材料价格波动,2682,1.8581081081080986,1.6983455045283677,4.514225
000090,天健集团,3.3,重大合同签署,38,-3.937007874015746,1.4131338320864424,1.1086399999999998
300725,药石科技,3.3,财报发布,3059,3.677472078452741,3.4829658228880773,3.7025999999999994
000833,粤桂股份,3.3,原材料价格波动,277,-4.473085670962849,1.8511033869533666,9.715295
600323,瀚蓝环境,3.28,重大资产重组,3238,-3.422568620806511,-3.455284552845539,0.684915
600927,永安期货,3.28,国家发展规划,1216,-2.8474576271186436,2.7313785934475474,0.36900999999999995
002235,安妮股份,3.28,行业新规,1638,-13.764813126709205,-4.70914127423822,6.973059999999999
002967,广电计量,3.28,行业新规,2376,2.688919796012973,7.806872383919007,1.1946850000000002
000601,韶能股份,3.26,国家发展规划,2555,-10.405405405405412,-6.057385759829959,14.582755
600958,东方证券,3.26,重大资产重组,2819,-2.7083333333333313,1.9761982749208336,0.0
601615,明阳智能,3.26,国家发展规划,305,-13.223987698616103,-1.5640444211872895,3.6144849999999997
300182,捷成股份,3.26,行业新规,1401,-6.026058631921826,0.8564936199964951,5.090064999999999
000065,北方国际,3.26,外交制裁/反制,1166,13.83748994368464,-0.9346448699548288,7.293944999999999
300573,兴齐眼药,3.26,行业龙头动作,1433,-1.2782838671760277,0.7792051957012376,2.1936750000000003
002923,润都股份,3.2,产品发布/召回,3323,-19.949012109623958,-14.598490514720893,6.659905
300740,水羊股份,3.12,行业标准制定,428,10.106382978723403,9.287257019438456,2.17424
000998,隆平高科,3.12,行业新规,44,-2.369200394866734,0.21278751646570873,2.173825
603270,金帝股份,3.1,行业龙头动作,577,8.672199170124479,6.079630604722755,4.293819999999998
601890,亚星锚链,3.08,战争/冲突,750,-4.644808743169397,1.7987360233349587,2.9944300000000004
603308,应流股份,3.08,行业龙头动作,2361,16.252452583387832,10.024449877750627,2.79288
601975,招商南油,3.08,战争/冲突,888,-7.69230769230768,-7.046799354491638,7.207949999999999
000560,我爱我家,2.96,国家发展规划,2745,-5.9561128526645755,2.0234653970413152,4.5511800000000004
000925,众合科技,2.9,行业龙头动作,1409,-2.516556291390722,2.8938906752411553,2.032155
300496,中科创达,2.8,财报发布,3081,-6.006742261722343,2.4040066777963474,2.695825
600325,华发股份,2.8,经济数据,1349,-9.343434343434346,0.7295173961840321,1.31609
600598,北大荒,2.8,经济数据,581,-4.097387173396682,-0.4192872117400505,2.296795
601777,千里科技,2.71,产品发布/召回,2404,-1.4778325123152742,0.6036217303822987,0.480445
300965,恒宇信通,2.64,重大资产重组,574,3.9346696362286515,5.682311423125531,1.06054
688037,芯源微,2.64,行业龙头动作,331,9.823799179338643,4.887649191154873,2.3480000000000003
300456,赛微电子,2.64,行业龙头动作,1004,24.029287774572882,14.602019373686662,9.592855
300191,潜能恒信,2.64,原材料价格波动,2063,-9.1166077738516,0.3903200624512063,9.378974999999999
002244,滨江集团,2.64,财报发布,1765,2.7317073170731643,6.390502652184879,0.838265
002752,昇兴股份,2.6,财报发布,3035,1.3071895424836613,-1.5794904357488675,2.399535
300404,博济医药,2.6,重大合同签署,3277,2.6183282980866043,2.309236947791151,3.9999350000000007
301210,金杨精密,2.6,财报发布,1707,4.688721021099237,5.13236371246204,5.294485000000001
603605,珀莱雅,2.6,财报发布,2260,-10.997596153846153,-2.9019594987747985,0.7245349999999999
300628,亿联网络,2.6,财报发布,3080,4.145985401459859,5.4280520785612145,1.0329199999999998
000552,甘肃能化,2.6,原材料价格波动,3472,0.7575757575757582,-3.710407239819006,3.962859999999999
000661,长春高新,2.46,产品发布/召回,2453,-2.6413397774530676,0.6764452916153253,1.020655
688536,思瑞浦,2.44,行业龙头动作,2102,17.346523130637184,10.833864620660842,3.5974150000000003
